date,TiDE+RIN_Forecast
2023-08-20,8.755388
2023-08-21,8.781076
2023-08-22,8.524845
2023-08-23,8.606758
2023-08-24,8.98725
2023-08-25,8.8225155
2023-08-26,8.627894
2023-08-27,9.033727
2023-08-28,8.740706
2023-08-29,8.658044
2023-08-30,8.633553
2023-08-31,8.938444
2023-09-01,8.945356
2023-09-02,8.834601
2023-09-03,9.026262
2023-09-04,9.0415945
2023-09-05,8.688951
2023-09-06,8.653545
2023-09-07,8.538349
2023-09-08,8.475452
2023-09-09,8.617059
2023-09-10,8.712449
2023-09-11,8.990076
2023-09-12,8.590353
2023-09-13,8.79505
2023-09-14,8.477818
2023-09-15,8.8520565
2023-09-16,8.715789
2023-09-17,8.672158
2023-09-18,8.544124
2023-09-19,8.851097
2023-09-20,8.780338
2023-09-21,8.917217
2023-09-22,8.89732
2023-09-23,8.833997
2023-09-24,8.9380455
2023-09-25,8.57187
2023-09-26,8.876336
2023-09-27,8.970391
2023-09-28,8.585818
2023-09-29,8.494941
2023-09-30,8.439682
2023-10-01,8.567905
2023-10-02,8.579578
2023-10-03,9.022091
2023-10-04,8.589037
2023-10-05,8.562277
2023-10-06,8.850848
2023-10-07,8.536847
2023-10-08,8.630783
2023-10-09,8.571425
2023-10-10,8.553413
2023-10-11,8.5465765
2023-10-12,8.775295
2023-10-13,8.443267
2023-10-14,8.582739
2023-10-15,8.671487
2023-10-16,8.582847
2023-10-17,8.214379
2023-10-18,8.308277
2023-10-19,8.336581
2023-10-20,8.356436
2023-10-21,8.451136
2023-10-22,8.558807
2023-10-23,8.323117
2023-10-24,8.601886
2023-10-25,8.411629
2023-10-26,8.8545265
2023-10-27,8.610923
2023-10-28,8.570842
2023-10-29,8.649006
2023-10-30,8.69748
2023-10-31,8.514665
2023-11-01,8.39416
2023-11-02,8.298675
2023-11-03,8.438498
2023-11-04,8.587146
2023-11-05,8.380131
2023-11-06,8.438823
2023-11-07,8.223219
2023-11-08,8.54537
2023-11-09,8.392073
2023-11-10,8.624236
2023-11-11,8.403798
2023-11-12,8.525078
2023-11-13,8.258033
2023-11-14,8.627047
2023-11-15,8.727415
2023-11-16,8.442766
2023-11-17,8.247903
2023-11-18,8.187029
2023-11-19,8.549077
2023-11-20,8.301592
2023-11-21,8.150922
2023-11-22,8.540207
2023-11-23,8.377999
2023-11-24,8.204965
2023-11-25,8.454156
2023-11-26,8.377009
2023-11-27,8.44587
2023-11-28,8.195576
2023-11-29,8.473163
2023-11-30,8.440172
2023-12-01,8.243709
2023-12-02,8.737856
2023-12-03,8.572748
2023-12-04,8.1407995
2023-12-05,8.299168
2023-12-06,8.176168
2023-12-07,8.139751
2023-12-08,8.237551
2023-12-09,8.172339
2023-12-10,8.484723
2023-12-11,8.225714
2023-12-12,8.302842
2023-12-13,8.038121
2023-12-14,8.41099
2023-12-15,8.417067
2023-12-16,8.2468
2023-12-17,8.06728
2023-12-18,8.547843
2023-12-19,8.266133
2023-12-20,8.51345
2023-12-21,8.504637
2023-12-22,8.562725
2023-12-23,8.5696335
2023-12-24,8.3219385
2023-12-25,8.3144455
2023-12-26,8.474658
