Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,22.1,0.273,0.032,17.4,75.1,1004.1,2.6,23.3,21.1,4010,1148,6053,4980,668,8497,Clear
1-2-2000,2000,1,2,22.6,0.268,0.032,18.8,79.6,1006.4,2.8,24.400000000000002,21.200000000000003,4090,1327,5598,4965,672,8458,Clear
1-3-2000,2000,1,3,22.6,0.271,0.039,20.1,86.0,1007.1,3.2,24.400000000000002,21.5,3179,1404,3973,4898,742,8083,Clear
1-4-2000,2000,1,4,22.6,0.282,0.043,19.9,85.1,1007.1,2.9,23.900000000000002,21.5,3986,1209,4779,4938,772,8082,Clear
1-5-2000,2000,1,5,22.6,0.286,0.045,19.1,80.8,1007.4,2.4,23.8,21.700000000000003,3906,1763,4400,5022,743,8277,Clear
1-6-2000,2000,1,6,22.5,0.28,0.044,18.4,77.4,1008.1,2.1,23.8,21.8,4044,1749,4569,5089,736,8427,Clear
1-7-2000,2000,1,7,22.4,0.268,0.059,17.6,74.4,1007.9,2.0,23.8,21.400000000000002,2870,2404,1131,5092,796,8242,Partly Cloudy
1-8-2000,2000,1,8,22.6,0.267,0.058,18.0,75.6,1007.2,2.2,23.8,21.6,3559,1783,3216,5077,780,8161,Clear
1-9-2000,2000,1,9,22.4,0.268,0.052,17.7,75.0,1006.0,2.0,23.5,21.3,2862,2218,1439,5143,724,8444,Partly Cloudy
1-10-2000,2000,1,10,22.4,0.266,0.066,18.6,79.1,1004.8,2.5,23.700000000000003,21.5,2912,1569,3034,5007,869,7799,Clear
1-11-2000,2000,1,11,22.6,0.268,0.056,18.8,79.3,1003.5,3.1,23.8,21.5,3924,1758,4215,5002,793,7897,Clear
1-12-2000,2000,1,12,22.5,0.276,0.05,18.6,78.7,1002.9,3.1,23.400000000000002,21.8,3495,2009,3072,5040,759,8098,Cloudy
1-13-2000,2000,1,13,22.0,0.279,0.044,18.3,79.5,1003.3,2.7,23.0,21.200000000000003,4141,1784,4413,5150,684,8466,Clear
1-14-2000,2000,1,14,21.9,0.285,0.05,18.2,79.8,1005.1,2.8,23.0,21.1,4471,1563,5530,5129,731,8329,Clear
1-15-2000,2000,1,15,21.2,0.292,0.074,17.4,79.2,1006.9,2.4,22.1,20.400000000000002,3269,1785,3230,5178,823,8073,Clear
1-16-2000,2000,1,16,21.1,0.304,0.064,16.0,72.8,1007.7,2.1,22.200000000000003,20.200000000000003,3913,2090,3062,5236,815,8230,Cloudy
1-17-2000,2000,1,17,21.0,0.307,0.058,15.7,71.9,1006.8,2.0,22.0,20.200000000000003,3960,2132,3455,5300,775,8400,Partly Cloudy
1-18-2000,2000,1,18,20.8,0.307,0.072,15.9,73.7,1004.8,2.6,21.8,20.1,3183,2459,1333,5226,790,8188,Partly Cloudy
1-19-2000,2000,1,19,20.9,0.317,0.101,17.3,80.1,1003.4,3.0,21.6,20.200000000000003,1983,1788,285,5083,1002,7384,Cloudy
1-20-2000,2000,1,20,21.3,0.31,0.078,17.4,78.5,1003.5,3.3,22.1,20.700000000000003,2524,2028,799,5140,900,7724,Cloudy
1-21-2000,2000,1,21,21.2,0.298,0.059,17.3,78.8,1004.5,2.8,22.200000000000003,20.1,3228,2360,1340,5236,844,8037,Cloudy
1-22-2000,2000,1,22,21.1,0.273,0.042,14.9,67.9,1004.5,1.6,22.6,19.900000000000002,3734,2730,2324,5517,749,8818,Fog
1-23-2000,2000,1,23,20.8,0.267,0.041,14.2,66.1,1004.8,1.6,22.1,20.0,4492,1799,5007,5571,737,8911,Clear
1-24-2000,2000,1,24,20.9,0.259,0.035,13.7,63.6,1005.8,1.7,22.200000000000003,19.700000000000003,4398,1455,5217,5594,710,8988,Clear
1-25-2000,2000,1,25,21.0,0.256,0.024,13.6,63.1,1006.8,1.7,22.400000000000002,19.700000000000003,4627,1375,5972,5608,663,9152,Clear
1-26-2000,2000,1,26,20.8,0.265,0.065,15.9,73.8,1008.8,2.2,21.8,20.0,2158,2074,131,5401,981,7998,Partly Cloudy
1-27-2000,2000,1,27,20.8,0.268,0.081,14.8,68.8,1011.3,1.4,22.0,19.6,4214,1782,4174,5621,931,8330,Clear
1-28-2000,2000,1,28,21.3,0.26,0.074,16.0,71.8,1010.2,1.8,22.5,20.3,4736,1420,4942,5590,923,8264,Clear
1-29-2000,2000,1,29,21.9,0.257,0.039,16.2,70.2,1008.2,1.7,23.5,20.700000000000003,4940,1230,6600,5726,687,9094,Clear
1-30-2000,2000,1,30,22.4,0.254,0.038,16.2,68.2,1006.9,1.9,24.200000000000003,20.8,5459,993,7385,5746,686,9090,Clear
1-31-2000,2000,1,31,22.6,0.256,0.041,19.3,81.7,1007.6,2.6,24.5,20.8,5541,705,8283,5648,716,8820,Clear
2-1-2000,2000,2,1,22.6,0.26,0.04,18.6,78.6,1008.4,2.8,24.200000000000003,21.400000000000002,5480,787,7990,5657,766,8689,Clear
2-2-2000,2000,2,2,23.0,0.268,0.036,16.7,68.4,1006.3,2.5,24.6,21.5,4533,1531,5874,5711,743,8834,Clear
2-3-2000,2000,2,3,22.9,0.274,0.036,18.2,75.1,1004.5,2.7,24.3,21.6,2965,1669,2896,5701,755,8760,Clear
2-4-2000,2000,2,4,22.5,0.265,0.049,18.2,76.5,1004.4,2.7,23.900000000000002,21.3,3496,1855,3054,5726,824,8607,Partly Cloudy
2-5-2000,2000,2,5,22.9,0.259,0.051,17.8,72.9,1003.9,2.5,24.6,21.6,3844,2040,3894,5805,815,8695,Clear
2-6-2000,2000,2,6,22.9,0.256,0.061,17.4,71.8,1004.5,2.2,24.6,21.5,5145,1848,6196,5890,808,8799,Clear
2-7-2000,2000,2,7,23.0,0.26,0.039,16.9,69.0,1006.7,2.1,24.700000000000003,21.0,4537,1004,5931,5968,683,9213,Clear
2-8-2000,2000,2,8,23.2,0.273,0.049,18.6,75.9,1008.0,2.4,25.1,21.0,5451,1378,7482,5901,804,8803,Clear
2-9-2000,2000,2,9,22.3,0.283,0.053,18.5,79.2,1008.2,2.9,23.200000000000003,21.200000000000003,3770,2481,2286,5828,848,8543,Cloudy
2-10-2000,2000,2,10,22.3,0.281,0.036,17.4,74.2,1006.4,2.5,24.1,20.700000000000003,5683,1208,7657,5992,747,9014,Clear
2-11-2000,2000,2,11,23.1,0.273,0.061,17.7,71.9,1005.2,2.5,24.700000000000003,21.5,3670,2084,3172,5987,863,8683,Partly Cloudy
