Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,24.1,0.275,0.02,17.4,66.6,1031.8,2.8,25.5,22.900000000000002,5027,611,8685,5027,611,8685,Clear
1-2-2000,2000,1,2,24.6,0.271,0.023,19.9,75.2,1033.8,3.3,25.900000000000002,23.400000000000002,4980,648,8477,4980,648,8477,Clear
1-3-2000,2000,1,3,24.8,0.274,0.034,20.9,79.2,1034.6,3.8,26.0,23.900000000000002,4900,760,8028,4900,760,8028,Clear
1-4-2000,2000,1,4,24.5,0.282,0.033,20.0,76.1,1034.4,3.0,25.8,23.6,4347,1053,5816,5015,710,8322,Clear
1-5-2000,2000,1,5,24.3,0.288,0.036,19.6,75.0,1034.8,2.6,25.400000000000002,23.3,4779,967,6954,5060,679,8437,Clear
1-6-2000,2000,1,6,24.0,0.286,0.035,18.7,72.2,1035.4,2.2,25.0,23.5,5170,664,8707,5170,664,8707,Clear
1-7-2000,2000,1,7,23.9,0.272,0.05,18.2,70.4,1035.2,2.2,25.0,23.1,4785,1160,6765,5117,807,8226,Clear
1-8-2000,2000,1,8,24.1,0.269,0.056,18.3,70.2,1034.5,2.2,25.200000000000003,23.3,3226,1637,3813,5118,821,8109,Clear
1-9-2000,2000,1,9,24.0,0.272,0.056,18.2,70.3,1033.2,2.3,25.0,23.0,2227,1555,2169,5137,790,8212,Clear
1-10-2000,2000,1,10,24.0,0.27,0.06,19.1,74.5,1032.0,3.0,25.1,23.1,4759,787,6940,5025,851,7823,Clear
1-11-2000,2000,1,11,24.2,0.269,0.049,19.3,73.9,1031.0,3.4,25.5,23.3,4335,1346,5775,5064,766,8090,Clear
1-12-2000,2000,1,12,24.2,0.275,0.041,18.8,72.4,1030.3,3.0,25.200000000000003,23.3,3611,1562,4010,5158,726,8393,Cloudy
1-13-2000,2000,1,13,23.6,0.279,0.04,19.0,75.5,1030.6,3.4,24.6,22.900000000000002,3312,2143,1755,5126,673,8383,Partly Cloudy
1-14-2000,2000,1,14,23.5,0.283,0.043,18.7,74.8,1032.3,3.3,24.6,22.700000000000003,4331,1399,5295,5168,700,8422,Cloudy
1-15-2000,2000,1,15,23.1,0.292,0.068,18.5,75.7,1033.8,2.7,24.0,22.400000000000002,4941,807,7307,5170,850,7952,Clear
1-16-2000,2000,1,16,22.8,0.302,0.06,16.8,69.2,1034.8,2.3,23.700000000000003,22.1,3734,2294,2180,5277,798,8293,Cloudy
1-17-2000,2000,1,17,22.7,0.304,0.05,16.4,67.7,1034.0,2.2,23.6,22.0,4770,1094,6207,5321,763,8463,Clear
1-18-2000,2000,1,18,22.5,0.303,0.054,16.1,67.4,1032.1,2.6,23.200000000000003,22.0,4897,1272,5652,5294,755,8404,Partly Cloudy
1-19-2000,2000,1,19,22.6,0.312,0.082,17.7,73.7,1030.6,3.3,23.3,21.900000000000002,2775,2054,1162,5137,970,7577,Cloudy
1-20-2000,2000,1,20,23.1,0.305,0.07,18.3,74.2,1030.7,3.6,23.8,22.3,1944,1782,237,5168,883,7789,Cloudy
1-21-2000,2000,1,21,22.8,0.293,0.051,18.4,76.0,1031.5,3.3,23.3,22.5,2352,2018,594,5274,789,8204,Cloudy
1-22-2000,2000,1,22,22.8,0.277,0.04,16.0,65.6,1031.6,1.9,23.900000000000002,21.900000000000002,4691,1642,5472,5540,728,8859,Clear
1-23-2000,2000,1,23,22.3,0.268,0.034,14.9,63.1,1032.0,1.6,23.400000000000002,21.400000000000002,5437,992,8338,5627,696,9074,Clear
1-24-2000,2000,1,24,22.4,0.262,0.024,14.3,60.4,1033.3,1.7,23.5,21.400000000000002,5634,643,9208,5634,643,9208,Clear
1-25-2000,2000,1,25,22.4,0.258,0.021,14.5,60.8,1034.4,1.9,23.5,21.6,4810,1773,5728,5612,664,9130,Clear
1-26-2000,2000,1,26,22.5,0.266,0.041,16.0,66.7,1036.0,2.3,23.200000000000003,21.6,4454,1227,4854,5546,717,8778,Partly Cloudy
1-27-2000,2000,1,27,22.5,0.275,0.078,15.7,65.6,1038.2,1.6,23.3,21.700000000000003,5279,1483,6570,5650,949,8358,Clear
1-28-2000,2000,1,28,23.1,0.266,0.057,16.3,65.3,1037.1,1.9,24.200000000000003,22.200000000000003,4477,1646,4871,5652,857,8546,Clear
1-29-2000,2000,1,29,23.5,0.264,0.032,16.8,65.9,1035.8,1.9,24.900000000000002,22.3,5741,678,9121,5741,678,9121,Clear
1-30-2000,2000,1,30,24.1,0.258,0.033,18.4,70.6,1034.5,2.3,25.900000000000002,22.400000000000002,5707,637,9068,5707,637,9068,Clear
1-31-2000,2000,1,31,24.4,0.259,0.042,20.1,77.0,1035.0,2.7,25.900000000000002,23.1,3381,2120,2938,5681,762,8741,Partly Cloudy
2-1-2000,2000,2,1,24.1,0.262,0.037,18.2,70.3,1035.9,2.4,25.200000000000003,23.200000000000003,5377,1348,7621,5810,737,9006,Clear
2-2-2000,2000,2,2,24.4,0.269,0.037,17.9,67.0,1033.7,2.4,25.6,23.3,5762,777,8805,5762,777,8805,Clear
2-3-2000,2000,2,3,24.2,0.273,0.044,18.7,71.7,1032.5,2.9,25.3,23.3,5709,827,8584,5709,827,8584,Clear
2-4-2000,2000,2,4,23.8,0.265,0.056,18.5,72.3,1032.3,2.8,24.900000000000002,22.900000000000002,5726,880,8427,5726,880,8427,Clear
2-5-2000,2000,2,5,23.9,0.259,0.029,18.5,72.2,1031.9,2.6,25.5,22.6,5671,779,7877,5874,671,9118,Clear
