Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,25.2,0.276,0.018,18.0,64.6,1058.6,3.1,26.400000000000002,24.1,4539,1166,7175,4990,607,8613,Clear
1-2-2000,2000,1,2,25.8,0.272,0.024,20.6,73.0,1060.5,3.7,27.1,24.6,4944,652,8371,4944,652,8371,Clear
1-3-2000,2000,1,3,25.9,0.275,0.036,21.4,76.1,1061.4,4.2,27.0,25.3,4844,778,7566,4869,772,7917,Clear
1-4-2000,2000,1,4,25.7,0.281,0.036,20.4,72.8,1061.3,3.3,26.8,24.8,4791,1014,7312,4987,715,8233,Clear
1-5-2000,2000,1,5,25.4,0.288,0.04,19.9,71.7,1061.8,2.9,26.5,24.5,5025,698,8291,5025,698,8291,Clear
1-6-2000,2000,1,6,25.2,0.286,0.039,19.1,69.0,1062.4,2.4,25.900000000000002,24.700000000000003,5143,679,8585,5143,679,8585,Clear
1-7-2000,2000,1,7,25.1,0.272,0.059,18.6,67.4,1062.2,2.5,26.1,24.3,4809,1151,6334,5058,875,7896,Clear
1-8-2000,2000,1,8,25.2,0.269,0.065,18.6,66.9,1061.5,2.4,26.3,24.5,3978,1410,5180,5078,875,7871,Clear
1-9-2000,2000,1,9,25.2,0.273,0.066,18.6,67.1,1060.2,2.5,26.1,24.400000000000002,4279,1604,5148,5082,851,7913,Clear
1-10-2000,2000,1,10,25.2,0.27,0.068,19.5,70.9,1059.0,3.3,26.1,24.400000000000002,4807,1135,6932,4981,892,7603,Clear
1-11-2000,2000,1,11,25.4,0.27,0.054,19.6,70.5,1057.8,3.7,26.400000000000002,24.700000000000003,4792,1105,7204,5037,795,7959,Clear
1-12-2000,2000,1,12,25.4,0.275,0.045,19.2,69.0,1057.0,3.3,26.3,24.6,4120,1527,4775,5133,759,8235,Cloudy
1-13-2000,2000,1,13,24.8,0.279,0.047,19.5,72.2,1057.3,4.0,25.6,24.200000000000003,2185,1854,513,5068,708,8163,Partly Cloudy
1-14-2000,2000,1,14,24.7,0.282,0.047,19.1,71.4,1059.2,3.6,25.6,23.900000000000002,3800,1883,3594,5133,721,8276,Cloudy
1-15-2000,2000,1,15,24.3,0.291,0.077,19.0,72.2,1060.7,3.1,25.1,23.6,4222,2073,4729,5098,915,7634,Clear
1-16-2000,2000,1,16,24.0,0.301,0.068,17.2,65.9,1061.7,2.6,24.700000000000003,23.400000000000002,3541,2379,1904,5243,837,8113,Cloudy
1-17-2000,2000,1,17,23.9,0.303,0.053,16.7,64.1,1060.6,2.5,24.6,23.5,4893,1337,6470,5282,795,8312,Clear
1-18-2000,2000,1,18,23.8,0.302,0.056,16.4,63.6,1058.8,2.9,24.400000000000002,23.400000000000002,4099,1967,3342,5264,774,8282,Partly Cloudy
1-19-2000,2000,1,19,23.9,0.311,0.094,18.2,70.5,1057.3,3.6,24.200000000000003,23.200000000000003,2645,2094,843,5084,1035,7318,Cloudy
1-20-2000,2000,1,20,24.3,0.304,0.078,18.6,70.6,1057.5,4.0,25.0,23.6,2729,2043,992,5123,932,7568,Cloudy
1-21-2000,2000,1,21,24.1,0.291,0.053,18.8,72.2,1058.2,3.7,24.5,23.900000000000002,3040,2083,1482,5245,804,8097,Cloudy
1-22-2000,2000,1,22,24.1,0.277,0.042,16.5,62.9,1058.4,2.2,25.0,23.200000000000003,4609,1893,4305,5509,741,8744,Fog
1-23-2000,2000,1,23,23.5,0.268,0.035,15.2,59.9,1058.8,1.8,24.6,22.6,4277,2020,4615,5605,707,8991,Clear
1-24-2000,2000,1,24,23.6,0.262,0.026,14.7,57.5,1059.9,1.9,24.400000000000002,22.8,5608,660,9100,5608,660,9100,Clear
1-25-2000,2000,1,25,23.7,0.259,0.021,15.0,58.2,1060.8,2.2,24.5,23.1,4175,1973,4001,5574,660,9049,Partly Cloudy
1-26-2000,2000,1,26,23.8,0.266,0.04,16.2,62.8,1062.7,2.5,24.400000000000002,22.900000000000002,5182,1108,6615,5520,669,8803,Clear
1-27-2000,2000,1,27,23.7,0.276,0.085,16.2,62.6,1065.1,1.8,24.5,23.0,4024,2029,3735,5603,998,8152,Partly Cloudy
1-28-2000,2000,1,28,24.4,0.267,0.058,16.6,61.7,1064.0,2.1,25.3,23.6,5622,875,8436,5622,875,8436,Clear
