Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,25.2,0.27,0.025,18.4,65.9,1054.5,3.3,25.900000000000002,24.8,4045,1820,5082,4834,617,8375,Clear
1-2-2000,2000,1,2,25.3,0.266,0.036,19.4,69.9,1056.7,3.4,26.5,24.3,4293,1071,5692,4819,680,8144,Clear
1-3-2000,2000,1,3,25.1,0.269,0.041,20.3,74.6,1057.7,3.4,26.1,24.400000000000002,4441,1253,6516,4815,738,7941,Clear
1-4-2000,2000,1,4,25.3,0.279,0.043,21.0,77.2,1057.5,3.4,26.200000000000003,24.6,4528,1095,6124,4805,713,7951,Clear
1-5-2000,2000,1,5,25.5,0.285,0.055,20.3,73.3,1057.9,3.0,26.1,24.900000000000002,4315,1182,5694,4861,817,7808,Clear
1-6-2000,2000,1,6,25.4,0.272,0.055,19.9,71.7,1058.8,2.6,26.1,24.8,3747,1618,4238,4899,818,7868,Clear
1-7-2000,2000,1,7,25.3,0.265,0.074,18.8,67.2,1058.6,2.3,26.1,24.400000000000002,4106,2077,4371,4916,890,7628,Clear
1-8-2000,2000,1,8,25.4,0.265,0.081,19.3,69.0,1057.7,2.7,26.1,24.700000000000003,3226,1907,2401,4868,889,7458,Partly Cloudy
1-9-2000,2000,1,9,25.2,0.265,0.063,18.8,67.6,1056.7,2.4,26.1,24.5,4540,1489,6023,5008,779,8083,Clear
1-10-2000,2000,1,10,25.2,0.261,0.077,19.6,71.3,1055.5,2.9,26.0,24.5,2881,2290,1580,4912,883,7556,Partly Cloudy
1-11-2000,2000,1,11,25.2,0.266,0.069,19.8,72.1,1054.3,3.4,25.900000000000002,24.400000000000002,3108,2346,1445,4869,863,7503,Partly Cloudy
1-12-2000,2000,1,12,25.2,0.275,0.071,20.0,72.8,1053.7,3.8,25.900000000000002,24.700000000000003,2800,1999,1662,4846,873,7477,Cloudy
1-13-2000,2000,1,13,24.7,0.283,0.054,19.3,71.8,1054.1,3.2,25.5,24.200000000000003,3875,1876,3833,5004,756,8036,Cloudy
1-14-2000,2000,1,14,24.5,0.289,0.069,19.3,72.8,1055.8,3.4,25.200000000000003,23.8,4055,1557,4894,4954,816,7772,Clear
1-15-2000,2000,1,15,23.9,0.293,0.1,18.1,70.1,1057.8,2.7,24.400000000000002,23.5,2687,2236,994,4990,972,7394,Partly Cloudy
1-16-2000,2000,1,16,23.9,0.304,0.076,16.9,65.1,1058.5,2.3,24.5,23.200000000000003,3723,2222,2668,5079,894,7754,Cloudy
1-17-2000,2000,1,17,23.8,0.309,0.07,16.5,63.6,1057.5,2.3,24.200000000000003,23.3,5051,874,7376,5147,833,7933,Clear
1-18-2000,2000,1,18,23.6,0.315,0.1,17.0,66.6,1055.5,3.0,24.3,23.200000000000003,3203,1729,2402,5025,908,7493,Partly Cloudy
1-19-2000,2000,1,19,23.6,0.32,0.128,18.2,71.6,1054.2,3.6,24.1,23.1,2461,1944,767,4882,1135,6734,Cloudy
1-20-2000,2000,1,20,24.2,0.317,0.105,18.2,69.3,1054.3,3.8,24.8,23.6,2932,2006,1326,4948,1029,7090,Cloudy
1-21-2000,2000,1,21,24.0,0.3,0.077,17.8,68.3,1055.4,3.2,24.700000000000003,23.400000000000002,2541,2111,716,5089,893,7627,Cloudy
1-22-2000,2000,1,22,24.0,0.271,0.056,16.0,60.6,1055.4,2.0,24.900000000000002,23.400000000000002,3721,2387,2009,5331,824,8267,Fog
1-23-2000,2000,1,23,23.8,0.267,0.048,15.4,59.4,1055.5,1.9,24.5,23.3,3845,1643,3945,5418,784,8515,Clear
1-24-2000,2000,1,24,23.8,0.259,0.043,14.4,55.9,1056.4,2.0,24.5,23.0,4309,2244,4175,5437,778,8532,Clear
1-25-2000,2000,1,25,23.8,0.255,0.023,15.2,58.9,1057.3,2.2,24.5,22.8,4941,1451,6221,5464,652,8900,Clear
1-26-2000,2000,1,26,23.5,0.264,0.094,17.0,67.0,1059.9,2.4,24.400000000000002,22.900000000000002,2606,1965,1084,5282,1135,7394,Partly Cloudy
1-27-2000,2000,1,27,23.7,0.264,0.107,16.2,62.9,1062.2,1.7,24.5,22.900000000000002,5000,1535,5381,5418,1066,7654,Clear
1-28-2000,2000,1,28,24.0,0.258,0.094,17.3,66.2,1060.9,2.0,24.900000000000002,23.200000000000003,4097,2072,3552,5426,1017,7752,Clear
1-29-2000,2000,1,29,24.6,0.253,0.051,17.2,63.6,1058.8,2.0,25.700000000000003,23.5,4840,1975,5972,5588,755,8675,Clear
1-30-2000,2000,1,30,25.1,0.252,0.05,17.7,63.7,1057.0,2.5,26.400000000000002,23.8,4380,1577,5281,5590,711,8713,Clear
1-31-2000,2000,1,31,25.2,0.254,0.049,19.5,70.6,1058.0,3.2,26.200000000000003,24.3,5385,912,7757,5498,758,8427,Clear
2-1-2000,2000,2,1,25.3,0.257,0.055,20.2,73.3,1058.6,3.6,26.400000000000002,24.400000000000002,5031,1273,6704,5445,829,8166,Clear
2-2-2000,2000,2,2,25.5,0.266,0.047,18.8,66.9,1056.5,3.2,26.6,24.400000000000002,4118,1996,3904,5522,788,8353,Clear
