Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,24.2,0.269,0.02,18.4,69.9,1034.7,3.2,24.900000000000002,23.6,4018,1210,6050,4838,578,8496,Clear
1-2-2000,2000,1,2,24.5,0.266,0.033,19.0,71.5,1037.2,3.3,25.400000000000002,23.8,4150,1306,5509,4827,651,8230,Cloudy
1-3-2000,2000,1,3,24.4,0.269,0.032,19.6,74.6,1038.2,3.0,25.3,23.8,4861,648,8102,4872,653,8284,Clear
1-4-2000,2000,1,4,24.4,0.279,0.035,20.7,79.8,1038.1,3.2,25.200000000000003,23.8,4262,1442,5596,4845,647,8211,Clear
1-5-2000,2000,1,5,24.6,0.284,0.047,20.2,76.3,1038.3,2.8,25.200000000000003,24.1,4897,768,8033,4897,768,8033,Clear
1-6-2000,2000,1,6,24.5,0.27,0.047,19.8,75.1,1039.2,2.5,25.1,24.0,4727,1064,7315,4932,777,8052,Clear
1-7-2000,2000,1,7,24.4,0.264,0.064,18.6,70.1,1039.1,2.2,25.1,23.6,4953,845,7819,4953,845,7819,Clear
1-8-2000,2000,1,8,24.6,0.265,0.079,19.2,72.0,1038.2,2.5,25.200000000000003,23.900000000000002,2548,1794,1212,4887,884,7536,Partly Cloudy
1-9-2000,2000,1,9,24.3,0.265,0.057,18.5,70.3,1037.2,2.2,25.1,23.700000000000003,4620,1352,6345,5046,752,8218,Clear
1-10-2000,2000,1,10,24.3,0.26,0.066,19.4,74.4,1035.9,2.6,25.1,23.6,3536,1896,2896,4971,819,7815,Partly Cloudy
1-11-2000,2000,1,11,24.3,0.264,0.062,19.6,75.1,1034.8,3.1,25.0,23.6,4732,882,7014,4912,826,7695,Clear
1-12-2000,2000,1,12,24.4,0.274,0.065,19.9,76.3,1034.2,3.6,24.900000000000002,23.900000000000002,1903,1501,1198,4881,834,7620,Clear
1-13-2000,2000,1,13,23.9,0.284,0.05,19.1,74.9,1034.7,3.0,24.5,23.3,3753,1753,3803,5016,750,8090,Cloudy
1-14-2000,2000,1,14,23.6,0.291,0.063,19.2,76.3,1036.3,3.2,24.3,22.900000000000002,3755,2017,3502,4977,797,7865,Partly Cloudy
1-15-2000,2000,1,15,23.0,0.294,0.091,17.9,73.2,1038.2,2.4,23.5,22.6,4507,1302,5204,5027,943,7549,Clear
1-16-2000,2000,1,16,23.0,0.304,0.067,16.8,68.2,1039.0,2.2,23.6,22.400000000000002,3698,2162,2898,5112,864,7923,Cloudy
1-17-2000,2000,1,17,22.8,0.309,0.064,16.4,66.9,1038.3,2.2,23.3,22.3,5174,811,8050,5174,811,8050,Clear
1-18-2000,2000,1,18,22.7,0.317,0.09,16.9,70.0,1036.3,2.8,23.3,22.3,3369,1967,2268,5053,879,7633,Cloudy
1-19-2000,2000,1,19,22.7,0.321,0.112,17.9,74.4,1034.8,3.2,23.1,22.1,2945,2258,1069,4957,1052,7078,Cloudy
1-20-2000,2000,1,20,23.3,0.319,0.094,18.0,72.3,1034.9,3.6,23.8,22.700000000000003,2889,1843,1488,4988,973,7291,Cloudy
1-21-2000,2000,1,21,23.1,0.301,0.067,17.5,71.1,1036.0,3.0,23.700000000000003,22.400000000000002,3296,2147,2087,5126,845,7819,Cloudy
1-22-2000,2000,1,22,23.1,0.271,0.05,15.8,63.8,1036.0,1.8,23.900000000000002,22.400000000000002,5367,784,8438,5367,784,8438,Clear
1-23-2000,2000,1,23,22.9,0.267,0.041,15.3,62.4,1036.2,1.8,23.6,22.400000000000002,4267,2339,3823,5442,739,8658,Fog
1-24-2000,2000,1,24,22.8,0.258,0.038,14.1,58.1,1036.9,1.8,23.5,22.1,3831,2111,3895,5454,751,8650,Clear
1-25-2000,2000,1,25,23.0,0.254,0.021,15.2,61.6,1037.9,2.0,23.700000000000003,22.1,4642,1879,4700,5482,616,9023,Fog
1-26-2000,2000,1,26,22.6,0.264,0.084,16.8,70.0,1040.5,2.2,23.400000000000002,22.0,5231,1066,7118,5341,1054,7649,Clear
1-27-2000,2000,1,27,22.7,0.264,0.093,16.1,66.4,1042.6,1.6,23.5,22.0,5445,999,7870,5445,999,7870,Clear
1-28-2000,2000,1,28,23.0,0.257,0.082,17.2,69.5,1041.4,1.9,23.900000000000002,22.3,5462,954,7966,5462,954,7966,Clear
1-29-2000,2000,1,29,23.6,0.253,0.047,16.9,66.1,1039.3,1.8,24.700000000000003,22.6,5611,733,8758,5611,733,8758,Clear
1-30-2000,2000,1,30,24.0,0.252,0.046,17.8,68.3,1037.5,2.4,24.900000000000002,23.0,5591,699,8750,5591,699,8750,Clear
1-31-2000,2000,1,31,24.3,0.254,0.042,19.2,73.1,1038.5,3.0,25.3,23.400000000000002,5003,1279,5965,5521,717,8556,Clear
2-1-2000,2000,2,1,24.5,0.256,0.047,20.1,76.8,1039.0,3.4,25.400000000000002,23.6,5464,769,8322,5464,769,8322,Clear
2-2-2000,2000,2,2,24.4,0.265,0.048,18.8,71.0,1037.2,3.0,25.200000000000003,23.8,5362,1054,7739,5528,777,8354,Clear
2-3-2000,2000,2,3,24.0,0.272,0.022,20.0,78.0,1035.4,3.2,24.6,23.6,3281,1914,3468,5580,649,8775,Clear
2-4-2000,2000,2,4,23.9,0.264,0.022,19.3,75.7,1035.3,2.7,24.6,23.200000000000003,5678,622,8987,5678,622,8987,Clear
2-5-2000,2000,2,5,24.2,0.257,0.048,18.6,70.8,1034.6,2.6,25.0,23.5,5715,732,8755,5715,732,8755,Clear
2-6-2000,2000,2,6,24.0,0.253,0.09,18.5,71.4,1035.3,2.3,24.700000000000003,23.3,5140,1525,6000,5684,1002,8002,Clear
2-7-2000,2000,2,7,24.6,0.26,0.048,18.6,69.2,1037.3,3.0,25.400000000000002,23.8,4649,1133,5799,5724,704,8679,Clear
2-8-2000,2000,2,8,24.7,0.277,0.058,19.0,71.2,1038.8,3.0,25.6,23.5,5058,1624,5927,5767,824,8463,Clear
2-9-2000,2000,2,9,24.2,0.286,0.036,19.6,75.7,1039.0,3.6,24.700000000000003,23.6,2660,2074,839,5714,745,8587,Cloudy
2-10-2000,2000,2,10,24.2,0.28,0.031,19.1,73.3,1037.2,3.3,25.3,23.3,5422,1095,7325,5814,720,8765,Clear
2-11-2000,2000,2,11,24.3,0.272,0.035,18.5,70.4,1036.2,2.9,25.1,23.700000000000003,5893,729,8814,5893,729,8814,Clear
2-12-2000,2000,2,12,24.2,0.267,0.02,18.9,72.1,1036.5,3.0,25.1,23.5,5921,641,9068,5921,641,9068,Clear
2-13-2000,2000,2,13,24.1,0.269,0.036,19.1,73.9,1036.4,3.1,25.200000000000003,22.900000000000002,4938,1537,6418,5947,676,8963,Clear
2-14-2000,2000,2,14,24.4,0.272,0.058,19.6,74.6,1036.8,3.8,25.3,23.6,5143,1200,5777,5865,776,8462,Clear
2-15-2000,2000,2,15,24.2,0.276,0.053,20.0,77.2,1036.6,3.9,24.900000000000002,23.700000000000003,5760,1002,7519,5894,794,8481,Clear
2-16-2000,2000,2,16,24.2,0.291,0.044,19.8,76.5,1037.2,3.8,25.200000000000003,23.5,3651,2321,2132,5962,748,8779,Partly Cloudy
2-17-2000,2000,2,17,24.2,0.287,0.053,20.4,79.2,1038.7,3.0,25.200000000000003,23.400000000000002,5842,1109,7313,6056,867,8647,Clear
2-18-2000,2000,2,18,24.0,0.278,0.037,20.1,79.1,1040.4,2.7,24.900000000000002,23.3,6159,779,9075,6159,779,9075,Clear
2-19-2000,2000,2,19,23.6,0.278,0.035,19.5,77.7,1040.5,2.2,24.6,22.8,6290,746,9343,6290,746,9343,Clear
2-20-2000,2000,2,20,23.6,0.28,0.055,17.7,69.8,1040.3,1.7,24.6,22.6,5747,1801,6625,6343,909,9038,Clear
2-21-2000,2000,2,21,23.8,0.28,0.044,19.2,75.5,1039.5,2.4,24.3,23.400000000000002,5765,1234,7569,6281,779,9163,Clear
2-22-2000,2000,2,22,24.1,0.292,0.069,18.2,69.7,1040.3,2.2,24.900000000000002,23.5,5873,1626,6290,6353,925,8813,Clear
2-23-2000,2000,2,23,24.5,0.295,0.061,17.5,65.4,1040.2,2.0,25.200000000000003,23.700000000000003,4442,1833,4349,6425,906,8970,Partly Cloudy
2-24-2000,2000,2,24,24.0,0.293,0.069,17.5,67.0,1040.0,2.1,24.700000000000003,23.5,5626,1749,5895,6376,1013,8680,Clear
