Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,23.3,0.273,0.033,18.1,72.7,1029.7,2.9,24.1,22.5,4930,662,8384,4930,662,8384,Clear
1-2-2000,2000,1,2,23.9,0.269,0.033,19.8,78.0,1031.8,3.1,25.0,23.0,3802,1542,4648,4897,680,8275,Clear
1-3-2000,2000,1,3,23.9,0.272,0.041,21.0,83.9,1032.7,3.5,25.1,23.200000000000003,4401,1221,6639,4826,757,7895,Clear
1-4-2000,2000,1,4,24.1,0.282,0.045,20.5,80.5,1032.5,3.1,25.0,23.3,4690,1020,6519,4887,768,7962,Clear
1-5-2000,2000,1,5,24.0,0.287,0.047,19.8,77.4,1032.9,2.6,24.8,23.3,4546,1109,6725,4966,731,8168,Clear
1-6-2000,2000,1,6,23.9,0.282,0.045,19.0,74.3,1033.6,2.2,24.700000000000003,23.400000000000002,4001,1819,4566,5045,721,8339,Fog
1-7-2000,2000,1,7,23.8,0.27,0.062,18.4,71.7,1033.3,2.1,24.8,23.0,4367,1765,4844,5029,801,8080,Clear
1-8-2000,2000,1,8,23.9,0.267,0.061,18.7,72.6,1032.6,2.3,24.8,23.3,3715,1506,3305,5019,784,8029,Partly Cloudy
1-9-2000,2000,1,9,23.8,0.27,0.058,18.5,72.2,1031.5,2.2,24.5,23.0,2680,1902,1937,5072,744,8233,Partly Cloudy
1-10-2000,2000,1,10,23.8,0.267,0.071,19.3,76.0,1030.3,2.8,24.6,23.200000000000003,2866,1624,2670,4934,876,7605,Partly Cloudy
1-11-2000,2000,1,11,24.0,0.268,0.06,19.5,76.1,1029.1,3.4,24.900000000000002,23.200000000000003,2625,2215,635,4943,790,7770,Partly Cloudy
1-12-2000,2000,1,12,23.9,0.276,0.052,19.2,75.4,1028.5,3.3,24.5,23.3,3346,2219,2145,5002,748,8023,Cloudy
1-13-2000,2000,1,13,23.4,0.279,0.047,19.1,76.7,1028.8,3.0,24.0,22.900000000000002,2861,1794,2277,5084,680,8311,Cloudy
1-14-2000,2000,1,14,23.3,0.285,0.053,18.9,76.5,1030.5,3.1,24.1,22.700000000000003,4130,1581,4677,5078,724,8218,Clear
1-15-2000,2000,1,15,22.6,0.292,0.08,18.3,76.6,1032.2,2.6,23.200000000000003,22.0,3094,2402,1459,5103,829,7891,Partly Cloudy
1-16-2000,2000,1,16,22.6,0.304,0.069,16.8,70.2,1033.2,2.3,23.3,21.8,3102,2150,1430,5172,808,8099,Cloudy
1-17-2000,2000,1,17,22.5,0.307,0.062,16.7,69.6,1032.2,2.2,23.200000000000003,21.8,3329,2354,1869,5232,771,8254,Partly Cloudy
1-18-2000,2000,1,18,22.3,0.306,0.075,16.7,70.6,1030.2,2.8,22.900000000000002,21.8,2623,2011,1089,5169,781,8082,Partly Cloudy
1-19-2000,2000,1,19,22.4,0.316,0.103,18.0,76.4,1028.8,3.3,22.8,21.8,2127,1883,421,5022,991,7294,Cloudy
1-20-2000,2000,1,20,22.8,0.308,0.082,18.2,75.6,1028.9,3.6,23.3,22.200000000000003,2323,1940,748,5071,897,7582,Cloudy
1-21-2000,2000,1,21,22.6,0.297,0.063,18.2,76.3,1029.8,3.1,23.200000000000003,22.0,3107,2054,1730,5166,836,7901,Cloudy
1-22-2000,2000,1,22,22.5,0.274,0.046,15.8,65.9,1030.1,1.8,23.5,21.8,3561,2259,2396,5456,745,8684,Fog
1-23-2000,2000,1,23,22.2,0.267,0.043,15.1,64.0,1030.3,1.7,23.0,21.700000000000003,4432,1669,4331,5520,730,8810,Partly Cloudy
1-24-2000,2000,1,24,22.3,0.26,0.035,14.5,61.5,1031.4,1.8,23.0,21.6,5341,878,7852,5541,688,8933,Clear
1-25-2000,2000,1,25,22.4,0.257,0.026,14.5,61.0,1032.3,1.9,23.3,21.6,5146,1343,6845,5554,660,9037,Clear
1-26-2000,2000,1,26,22.3,0.265,0.067,16.7,71.0,1034.3,2.4,22.900000000000002,21.700000000000003,2781,2298,771,5339,940,7928,Partly Cloudy
1-27-2000,2000,1,27,22.2,0.27,0.088,15.7,66.8,1036.8,1.6,23.0,21.400000000000002,3967,2130,3015,5551,948,8150,Partly Cloudy
1-28-2000,2000,1,28,22.8,0.261,0.078,16.7,68.9,1035.6,1.9,23.5,21.900000000000002,5154,1382,6191,5516,923,8121,Clear
1-29-2000,2000,1,29,23.3,0.259,0.04,17.0,67.7,1033.8,1.9,24.400000000000002,22.5,4152,1451,4765,5664,676,8988,Partly Cloudy
1-30-2000,2000,1,30,23.7,0.256,0.038,17.6,68.8,1032.4,2.2,25.0,22.400000000000002,5671,654,8988,5671,654,8988,Clear
1-31-2000,2000,1,31,23.9,0.257,0.044,20.1,79.6,1033.1,2.8,25.200000000000003,22.6,5218,1037,7217,5589,742,8643,Clear
2-1-2000,2000,2,1,23.9,0.261,0.043,19.1,74.9,1033.8,2.9,24.900000000000002,23.0,5483,820,7925,5617,759,8607,Clear
2-2-2000,2000,2,2,24.2,0.269,0.038,17.6,66.7,1031.7,2.7,25.3,23.200000000000003,5318,1048,7375,5642,742,8702,Clear
2-3-2000,2000,2,3,23.8,0.274,0.042,18.7,73.1,1030.3,3.0,24.6,23.200000000000003,3970,1791,4429,5617,773,8556,Clear
