Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,22.6,0.275,0.017,16.8,70.1,1000.8,2.5,23.8,21.400000000000002,3967,1075,6163,5100,585,8884,Clear
1-2-2000,2000,1,2,23.3,0.272,0.02,19.4,79.0,1002.8,2.9,24.400000000000002,22.1,5054,623,8675,5054,623,8675,Clear
1-3-2000,2000,1,3,23.4,0.275,0.032,20.5,84.0,1003.3,3.4,24.700000000000003,22.6,3532,1584,4230,4984,745,8212,Clear
1-4-2000,2000,1,4,23.2,0.281,0.028,19.7,81.2,1003.2,2.7,24.5,22.3,4514,1768,6020,5113,682,8579,Clear
1-5-2000,2000,1,5,22.9,0.288,0.03,19.2,79.9,1003.5,2.3,24.0,21.900000000000002,4328,1057,6829,5153,648,8700,Clear
1-6-2000,2000,1,6,22.6,0.286,0.03,18.4,77.4,1003.9,2.0,23.5,22.1,4465,1169,7042,5246,646,8876,Clear
1-7-2000,2000,1,7,22.4,0.273,0.043,17.9,75.9,1003.7,2.0,23.5,21.6,4857,974,7616,5213,769,8517,Clear
1-8-2000,2000,1,8,22.6,0.269,0.052,18.0,75.6,1003.1,2.1,23.8,21.900000000000002,4974,1252,7234,5185,808,8252,Clear
1-9-2000,2000,1,9,22.5,0.272,0.048,18.0,75.7,1002.0,2.0,23.6,21.6,3648,1538,4261,5231,745,8510,Clear
1-10-2000,2000,1,10,22.5,0.269,0.052,18.9,80.2,1000.8,2.7,23.6,21.700000000000003,2689,1936,1938,5113,814,8083,Fog
1-11-2000,2000,1,11,22.8,0.267,0.045,19.1,79.8,999.6,3.2,24.0,21.900000000000002,4099,1484,5758,5132,740,8276,Clear
1-12-2000,2000,1,12,22.7,0.274,0.039,18.6,77.9,999.0,2.8,23.8,21.8,3976,1964,3395,5226,708,8550,Cloudy
1-13-2000,2000,1,13,22.2,0.278,0.036,18.7,80.7,999.4,3.1,23.200000000000003,21.5,4374,1578,4839,5212,654,8588,Cloudy
1-14-2000,2000,1,14,22.0,0.282,0.038,18.4,80.2,1001.0,3.0,23.0,21.3,4003,2030,3909,5240,680,8600,Cloudy
1-15-2000,2000,1,15,21.7,0.291,0.052,18.3,81.2,1002.5,2.5,22.6,21.1,5285,782,8366,5285,782,8366,Clear
1-16-2000,2000,1,16,21.4,0.301,0.052,16.8,75.6,1003.6,2.2,22.200000000000003,20.700000000000003,4447,1930,4376,5349,773,8484,Cloudy
1-17-2000,2000,1,17,21.2,0.303,0.041,16.2,73.0,1002.8,2.0,22.0,20.6,4130,1810,5374,5417,725,8746,Clear
1-18-2000,2000,1,18,21.1,0.301,0.046,16.0,72.7,1000.9,2.4,21.8,20.6,5156,1153,6825,5379,740,8593,Clear
1-19-2000,2000,1,19,21.3,0.311,0.067,17.3,78.4,999.5,2.9,22.0,20.5,3901,1970,3726,5252,921,7915,Cloudy
1-20-2000,2000,1,20,21.7,0.304,0.062,18.0,79.7,999.4,3.2,22.400000000000002,20.8,3558,2160,2045,5272,855,8041,Cloudy
1-21-2000,2000,1,21,21.5,0.293,0.044,18.2,81.8,1000.3,3.1,21.8,21.1,2518,2167,1035,5361,756,8425,Cloudy
1-22-2000,2000,1,22,21.4,0.276,0.035,16.0,71.5,1000.5,1.8,22.400000000000002,20.5,5605,711,8713,5624,704,9053,Clear
