Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,23.9,0.27,0.025,17.4,67.7,1027.0,3.0,27.200000000000003,21.700000000000003,3895,1521,5259,5163,631,8687,Clear
1-2-2000,2000,1,2,24.5,0.274,0.04,19.3,73.7,1029.2,3.7,27.700000000000003,22.0,2662,2068,1115,5105,690,8344,Partly Cloudy
1-3-2000,2000,1,3,24.5,0.275,0.06,19.2,72.9,1030.1,3.7,26.8,22.900000000000002,3390,1855,3150,5089,780,8031,Clear
1-4-2000,2000,1,4,24.0,0.277,0.06,18.3,70.7,1030.2,3.0,26.5,22.3,4792,1258,6745,5172,764,8238,Clear
1-5-2000,2000,1,5,23.5,0.282,0.072,18.0,71.2,1030.4,2.6,25.700000000000003,22.0,2192,2061,660,5191,810,8069,Partly Cloudy
1-6-2000,2000,1,6,23.2,0.287,0.065,17.4,70.1,1030.7,2.4,24.8,22.400000000000002,2807,1891,2522,5297,756,8454,Partly Cloudy
1-7-2000,2000,1,7,23.1,0.278,0.122,17.0,68.8,1030.6,2.4,24.700000000000003,22.0,1784,1589,595,5071,1257,6896,Partly Cloudy
1-8-2000,2000,1,8,23.3,0.275,0.149,16.8,67.2,1030.0,2.3,25.0,22.3,1897,1822,278,5094,1270,6811,Partly Cloudy
1-9-2000,2000,1,9,23.2,0.271,0.144,17.4,69.8,1028.6,2.6,25.0,21.700000000000003,2056,1881,330,5076,1262,6778,Partly Cloudy
1-10-2000,2000,1,10,23.5,0.266,0.138,18.3,72.9,1027.2,3.6,25.200000000000003,22.5,2660,1871,1319,5035,1162,6909,Partly Cloudy
1-11-2000,2000,1,11,23.8,0.266,0.118,18.1,70.7,1026.5,3.4,25.700000000000003,22.6,1845,1450,913,5101,1061,7189,Partly Cloudy
1-12-2000,2000,1,12,23.7,0.269,0.121,18.1,71.4,1025.4,3.2,25.8,22.3,2370,2066,797,5121,1131,7165,Partly Cloudy
1-13-2000,2000,1,13,23.5,0.272,0.156,18.4,73.5,1025.4,4.1,25.3,22.400000000000002,1119,1038,165,5033,1163,6815,Partly Cloudy
1-14-2000,2000,1,14,23.0,0.275,0.117,17.5,71.6,1027.1,3.3,24.700000000000003,22.1,3119,2371,1262,5236,978,7621,Partly Cloudy
1-15-2000,2000,1,15,22.9,0.282,0.12,17.8,73.2,1028.3,3.0,24.900000000000002,21.6,4205,1696,4467,5199,1112,7265,Partly Cloudy
