Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,14.3,0.269,0.014,12.3,89.3,860.6,1.5,18.6,11.100000000000001,4419,749,6911,5411,492,9599,Clear
1-2-2000,2000,1,2,15.0,0.273,0.021,13.5,91.8,862.8,1.9,19.3,11.600000000000001,2992,844,4691,5360,552,9288,Clear
1-3-2000,2000,1,3,15.2,0.274,0.028,14.1,93.2,863.2,2.0,18.900000000000002,12.8,2832,1557,3034,5343,612,9072,Clear
1-4-2000,2000,1,4,14.6,0.277,0.023,13.1,91.6,863.1,1.5,18.8,11.8,5464,562,9452,5464,562,9452,Clear
1-5-2000,2000,1,5,14.2,0.282,0.028,13.0,93.3,863.3,1.3,17.900000000000002,11.600000000000001,5323,651,8586,5488,581,9377,Clear
1-6-2000,2000,1,6,13.7,0.286,0.024,12.4,92.5,863.6,1.2,16.7,12.0,5560,551,9640,5560,551,9640,Clear
1-7-2000,2000,1,7,13.6,0.275,0.049,12.4,93.1,863.4,1.1,16.400000000000002,11.700000000000001,5481,801,8859,5481,801,8859,Clear
1-8-2000,2000,1,8,13.9,0.273,0.062,12.4,91.3,862.6,1.1,17.0,12.100000000000001,5478,834,8678,5478,834,8678,Clear
1-9-2000,2000,1,9,13.8,0.27,0.058,12.5,92.3,861.6,1.2,17.2,11.4,5492,808,8734,5492,808,8734,Clear
1-10-2000,2000,1,10,14.2,0.266,0.061,13.0,93.5,860.5,1.8,17.5,12.0,5415,801,8549,5415,801,8549,Clear
1-11-2000,2000,1,11,14.5,0.265,0.061,13.4,93.4,859.6,1.9,18.0,12.200000000000001,5438,766,8634,5438,766,8634,Clear
1-12-2000,2000,1,12,14.4,0.268,0.067,13.2,93.5,859.0,1.8,17.900000000000002,12.100000000000001,4445,1653,5171,5471,810,8609,Cloudy
1-13-2000,2000,1,13,13.9,0.272,0.096,13.6,98.0,859.1,2.3,16.400000000000002,12.600000000000001,2141,1768,1216,5348,884,8109,Cloudy
1-14-2000,2000,1,14,13.6,0.274,0.066,12.7,95.0,860.6,2.0,16.400000000000002,11.9,2089,1738,722,5512,743,8781,Partly Cloudy
1-15-2000,2000,1,15,13.5,0.282,0.052,12.6,95.0,861.7,1.6,16.7,11.4,4879,1435,6003,5577,768,8888,Clear
1-16-2000,2000,1,16,12.9,0.29,0.073,11.7,92.8,862.4,1.3,15.700000000000001,10.8,3380,1776,3309,5587,886,8561,Cloudy
