Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,23.4,0.273,0.032,18.0,71.9,1028.5,2.9,24.200000000000003,22.5,4923,810,8126,4947,659,8411,Clear
1-2-2000,2000,1,2,24.0,0.269,0.033,19.5,76.2,1030.5,3.1,25.400000000000002,23.0,4790,940,7097,4925,676,8324,Clear
1-3-2000,2000,1,3,24.0,0.272,0.042,20.8,82.1,1031.5,3.5,25.400000000000002,23.200000000000003,4527,1034,6488,4855,752,7933,Clear
1-4-2000,2000,1,4,24.1,0.282,0.044,20.5,80.5,1031.2,3.1,25.1,23.200000000000003,4800,1013,6938,4904,762,7987,Clear
1-5-2000,2000,1,5,24.1,0.286,0.045,19.8,76.9,1031.5,2.6,25.0,23.3,4729,1015,7429,4994,725,8223,Clear
1-6-2000,2000,1,6,24.0,0.281,0.046,19.0,73.8,1032.2,2.2,24.900000000000002,23.400000000000002,4887,729,7687,5059,729,8333,Clear
1-7-2000,2000,1,7,23.9,0.27,0.06,18.3,71.2,1032.0,2.1,24.900000000000002,23.0,5012,865,7698,5055,790,8143,Clear
1-8-2000,2000,1,8,24.0,0.267,0.061,18.7,72.4,1031.4,2.4,25.0,23.200000000000003,4833,1060,7056,5031,786,8008,Clear
1-9-2000,2000,1,9,23.8,0.269,0.055,18.4,71.7,1030.2,2.2,24.700000000000003,23.0,3577,2043,3232,5111,723,8342,Partly Cloudy
1-10-2000,2000,1,10,23.9,0.267,0.071,19.4,75.7,1028.9,2.8,24.900000000000002,23.200000000000003,3749,2143,3706,4959,873,7639,Clear
1-11-2000,2000,1,11,24.1,0.268,0.059,19.5,75.9,1027.6,3.4,25.1,23.1,4514,1396,5881,4961,788,7786,Clear
1-12-2000,2000,1,12,23.9,0.276,0.053,19.3,75.2,1027.1,3.4,24.700000000000003,23.3,3664,1973,3310,5006,753,8009,Clear
