Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather
1-1-2000,2000,1,1,5.3,0.267,0.011,5.0,98.0,732.5,0.8,10.4,1.7000000000000002,5638,436,10206,5638,436,10206,Clear
1-2-2000,2000,1,2,5.8,0.271,0.018,5.6,98.7,734.4,1.1,11.200000000000001,1.6,4727,1444,6262,5601,489,9929,Clear
1-3-2000,2000,1,3,6.2,0.272,0.023,6.2,99.5,735.0,1.2,10.9,3.4000000000000004,3424,1156,4665,5578,545,9686,Partly Cloudy
1-4-2000,2000,1,4,5.9,0.275,0.017,5.3,96.4,734.5,0.8,11.5,1.9000000000000001,5600,739,9120,5685,480,10100,Clear
1-5-2000,2000,1,5,5.5,0.28,0.021,5.1,97.9,734.5,0.7,10.8,1.9000000000000001,5722,496,10049,5722,496,10049,Clear
1-6-2000,2000,1,6,4.9,0.286,0.016,4.6,97.6,734.7,0.6,9.4,2.4000000000000004,5800,469,10348,5800,469,10348,Clear
1-7-2000,2000,1,7,4.7,0.276,0.034,4.6,99.2,734.3,0.6,8.8,2.2,5777,663,9789,5777,663,9789,Clear
1-8-2000,2000,1,8,4.9,0.272,0.047,4.7,98.5,733.9,0.6,9.200000000000001,2.4000000000000004,5731,721,9461,5731,721,9461,Clear
1-9-2000,2000,1,9,4.9,0.268,0.044,4.7,98.8,733.0,0.7,9.5,1.6,5743,692,9542,5743,692,9542,Clear
1-10-2000,2000,1,10,5.6,0.263,0.047,5.4,98.4,731.9,1.1,10.4,2.3000000000000003,4726,1414,6631,5671,690,9327,Clear
1-11-2000,2000,1,11,5.9,0.262,0.053,5.7,98.5,731.2,1.2,10.9,2.8000000000000003,4518,1243,6500,5679,679,9289,Clear
1-12-2000,2000,1,12,5.9,0.265,0.063,5.6,98.1,730.4,1.1,10.700000000000001,2.8000000000000003,4499,1849,4977,5698,740,9177,Partly Cloudy
1-13-2000,2000,1,13,5.5,0.269,0.087,5.5,100.0,730.5,1.4,8.9,3.8000000000000003,3126,2124,2302,5593,830,8710,Cloudy
1-14-2000,2000,1,14,5.2,0.272,0.061,5.0,99.1,731.8,1.1,9.200000000000001,2.9000000000000004,4656,1839,5405,5745,690,9346,Clear
1-15-2000,2000,1,15,5.3,0.279,0.04,5.0,98.2,732.7,0.9,10.100000000000001,2.3000000000000003,5855,634,9747,5855,634,9747,Clear
1-16-2000,2000,1,16,4.4,0.287,0.062,4.3,99.6,733.2,0.8,8.4,1.1,5057,1570,6400,5815,792,9220,Cloudy
1-17-2000,2000,1,17,3.0,0.29,0.04,2.8,98.6,732.4,0.7,7.800000000000001,-0.5,5894,696,9227,5928,676,9757,Clear
1-18-2000,2000,1,18,2.7,0.288,0.063,2.7,100.0,731.1,0.9,5.2,0.8,4131,1708,4655,5804,809,9104,Clear
1-19-2000,2000,1,19,3.9,0.293,0.041,3.4,96.9,730.1,0.9,8.8,0.6000000000000001,4847,1416,6332,5963,625,9820,Clear
1-20-2000,2000,1,20,4.4,0.289,0.048,4.2,99.2,730.2,1.1,8.9,1.6,3966,2322,2649,5887,702,9472,Cloudy
1-21-2000,2000,1,21,4.2,0.282,0.029,4.2,100.0,730.8,1.2,7.4,2.7,3377,2125,2198,5957,559,9965,Cloudy
1-22-2000,2000,1,22,3.9,0.265,0.031,3.5,97.9,730.5,0.8,8.6,0.1,4575,1030,6192,6111,569,10153,Clear
1-23-2000,2000,1,23,2.5,0.264,0.024,1.5,93.5,731.0,0.4,8.4,-1.8,6221,557,9967,6260,533,10572,Clear
1-24-2000,2000,1,24,3.0,0.265,0.023,2.2,94.6,732.3,0.6,8.9,-1.4000000000000001,6241,541,10443,6241,541,10443,Clear
1-25-2000,2000,1,25,3.3,0.264,0.017,3.1,99.1,733.1,0.6,7.5,0.9,6216,485,10517,6216,485,10517,Clear
1-26-2000,2000,1,26,3.1,0.263,0.018,2.5,95.9,734.4,0.6,7.9,0.4,6216,532,9911,6252,505,10498,Clear
1-27-2000,2000,1,27,2.9,0.277,0.048,2.8,99.5,735.5,0.5,6.9,0.0,6111,865,8741,6258,732,9874,Clear
1-28-2000,2000,1,28,3.1,0.275,0.027,2.5,96.2,735.5,0.5,8.1,0.0,6346,624,9874,6385,599,10463,Clear
1-29-2000,2000,1,29,4.4,0.268,0.028,3.6,95.2,735.2,0.6,11.0,-0.4,6358,548,10377,6358,548,10377,Clear
1-30-2000,2000,1,30,5.0,0.259,0.021,4.5,96.9,734.9,0.6,11.200000000000001,0.6000000000000001,5667,1291,7400,6390,519,10522,Clear
1-31-2000,2000,1,31,5.5,0.259,0.034,5.1,97.7,735.5,0.7,11.100000000000001,1.2000000000000002,5059,907,7454,6363,595,10178,Clear
2-1-2000,2000,2,1,4.7,0.259,0.025,3.6,93.6,735.8,0.5,10.4,0.5,6489,586,10009,6530,559,10609,Clear
2-2-2000,2000,2,2,4.7,0.262,0.031,4.5,98.6,734.4,0.6,10.0,1.0,5625,1087,6851,6436,643,10197,Clear
2-3-2000,2000,2,3,5.6,0.266,0.026,4.2,91.8,733.0,0.7,12.0,0.8,6450,630,9772,6487,596,10382,Clear
2-4-2000,2000,2,4,5.8,0.263,0.026,5.0,94.9,732.8,0.7,11.9,1.9000000000000001,5942,903,8204,6520,605,10398,Clear
2-5-2000,2000,2,5,6.3,0.256,0.026,4.9,92.2,732.5,0.7,12.600000000000001,2.6,6529,599,9888,6571,566,10514,Clear
2-6-2000,2000,2,6,5.5,0.257,0.027,4.7,94.9,733.0,0.7,11.9,0.8,6577,577,10425,6577,577,10425,Clear
2-7-2000,2000,2,7,6.0,0.263,0.037,5.1,94.6,734.7,0.7,12.100000000000001,1.2000000000000002,6590,595,10316,6590,595,10316,Clear
2-8-2000,2000,2,8,5.5,0.268,0.041,5.4,99.3,736.2,0.8,10.100000000000001,3.0,6597,661,10122,6597,661,10122,Clear
2-9-2000,2000,2,9,4.9,0.272,0.051,4.9,100.0,735.8,0.9,9.200000000000001,2.5,5971,1429,7711,6488,827,9645,Clear
2-10-2000,2000,2,10,5.1,0.276,0.043,4.7,97.4,734.2,0.8,10.4,1.7000000000000002,6645,683,10121,6645,683,10121,Clear
2-11-2000,2000,2,11,5.5,0.277,0.037,4.8,95.6,733.6,0.7,11.200000000000001,1.7000000000000002,6735,645,10331,6735,645,10331,Clear
